"lon";"lat";"radius";"done"
"2.330753425";"48.87142561";"52.5";1
"2.330753425";"48.87237062";"52.5";1
"2.330753425";"48.88560076";"52.5";1
"2.330753425";"48.89505085";"52.5";1
"2.330753425";"48.8997759";"52.5";1
"2.331472603";"48.87095311";"52.5";1
"2.331472603";"48.87189812";"52.5";1
"2.331472603";"48.87284313";"52.5";1
"2.331472603";"48.87378814";"52.5";1
"2.331472603";"48.87473315";"52.5";1
"2.331472603";"48.87567816";"52.5";1
"2.331472603";"48.87662317";"52.5";1
"2.331472603";"48.87756818";"52.5";1
"2.331472603";"48.87851319";"52.5";1
"2.331472603";"48.87945819";"52.5";1
"2.331472603";"48.8804032";"52.5";1
"2.331472603";"48.88134821";"52.5";1
"2.331472603";"48.88229322";"52.5";1
"2.331472603";"48.88323823";"52.5";1
"2.331472603";"48.88418324";"52.5";1
"2.331472603";"48.88512825";"52.5";1
"2.331472603";"48.88607326";"52.5";1
"2.331472603";"48.88701827";"52.5";1
"2.331472603";"48.88796328";"52.5";1
"2.331472603";"48.88890829";"52.5";1
"2.331472603";"48.8898533";"52.5";1
"2.331472603";"48.89079831";"52.5";1
"2.331472603";"48.89174332";"52.5";1
"2.331472603";"48.89268833";"52.5";1
"2.331472603";"48.89363334";"52.5";1
"2.331472603";"48.89457835";"52.5";1
"2.331472603";"48.89552336";"52.5";1
"2.331472603";"48.89646836";"52.5";1
"2.331472603";"48.89741337";"52.5";1
"2.331472603";"48.89835838";"52.5";1
"2.331472603";"48.89930339";"52.5";1
"2.331472603";"48.9002484";"52.5";1
"2.332191781";"48.87142561";"52.5";1
"2.332191781";"48.87237062";"52.5";1
"2.332191781";"48.87331563";"52.5";1
"2.332191781";"48.87426064";"52.5";1
"2.332191781";"48.87520565";"52.5";1
"2.332191781";"48.87615066";"52.5";1
"2.332191781";"48.87709567";"52.5";1
"2.332191781";"48.87804068";"52.5";1
"2.332191781";"48.87898569";"52.5";1
"2.332191781";"48.8799307";"52.5";1
"2.332191781";"48.88087571";"52.5";1
"2.332191781";"48.88182072";"52.5";1
"2.332191781";"48.88276573";"52.5";1
"2.332191781";"48.88371074";"52.5";1
"2.332191781";"48.88465575";"52.5";1
"2.332191781";"48.88560076";"52.5";1
"2.332191781";"48.88654577";"52.5";1
"2.332191781";"48.88749077";"52.5";1
"2.332191781";"48.88843578";"52.5";1
"2.332191781";"48.88938079";"52.5";1
"2.332191781";"48.8903258";"52.5";1
"2.332191781";"48.89127081";"52.5";1
"2.332191781";"48.89221582";"52.5";1
"2.332191781";"48.89316083";"52.5";1
"2.332191781";"48.89410584";"52.5";1
"2.332191781";"48.89505085";"52.5";1
"2.332191781";"48.89599586";"52.5";1
"2.332191781";"48.89694087";"52.5";1
"2.332191781";"48.89788588";"52.5";1
"2.332191781";"48.89883089";"52.5";1
"2.332191781";"48.8997759";"52.5";1
"2.332191781";"48.90072091";"52.5";1
"2.332910959";"48.87095311";"52.5";1
"2.332910959";"48.87189812";"52.5";1
"2.332910959";"48.87284313";"52.5";1
"2.332910959";"48.87378814";"52.5";1
"2.332910959";"48.87473315";"52.5";1
"2.332910959";"48.87567816";"52.5";1
"2.332910959";"48.87662317";"52.5";1
"2.332910959";"48.87756818";"52.5";1
"2.332910959";"48.87851319";"52.5";1
"2.332910959";"48.87945819";"52.5";1
"2.332910959";"48.8804032";"52.5";1
"2.332910959";"48.88134821";"52.5";1
"2.332910959";"48.88229322";"52.5";1
"2.332910959";"48.88323823";"52.5";1
"2.332910959";"48.88418324";"52.5";1
"2.332910959";"48.88512825";"52.5";1
"2.332910959";"48.88607326";"52.5";1
"2.332910959";"48.88701827";"52.5";1
"2.332910959";"48.88796328";"52.5";1
"2.332910959";"48.88890829";"52.5";1
"2.332910959";"48.8898533";"52.5";1
"2.332910959";"48.89079831";"52.5";1
"2.332910959";"48.89174332";"52.5";1
"2.332910959";"48.89268833";"52.5";1
"2.332910959";"48.89363334";"52.5";1
"2.332910959";"48.89457835";"52.5";1
"2.332910959";"48.89552336";"52.5";1
"2.332910959";"48.89646836";"52.5";1
"2.332910959";"48.89741337";"52.5";1
"2.332910959";"48.89835838";"52.5";1
"2.332910959";"48.89930339";"52.5";1
"2.332910959";"48.9002484";"52.5";1
"2.333630137";"48.87142561";"52.5";1
"2.333630137";"48.87237062";"52.5";1
"2.333630137";"48.87331563";"52.5";1
"2.333630137";"48.87426064";"52.5";1
"2.333630137";"48.87520565";"52.5";1
"2.333630137";"48.87615066";"52.5";1
"2.333630137";"48.87709567";"52.5";1
"2.333630137";"48.87804068";"52.5";1
"2.333630137";"48.87898569";"52.5";1
"2.333630137";"48.8799307";"52.5";1
"2.333630137";"48.88087571";"52.5";1
"2.333630137";"48.88182072";"52.5";1
"2.333630137";"48.88276573";"52.5";1
"2.333630137";"48.88371074";"52.5";1
"2.333630137";"48.88465575";"52.5";1
"2.333630137";"48.88560076";"52.5";1
"2.333630137";"48.88654577";"52.5";1
"2.333630137";"48.88749077";"52.5";1
"2.333630137";"48.88843578";"52.5";1
"2.333630137";"48.88938079";"52.5";1
"2.333630137";"48.8903258";"52.5";1
"2.333630137";"48.89127081";"52.5";1
"2.333630137";"48.89221582";"52.5";1
"2.333630137";"48.89316083";"52.5";1
"2.333630137";"48.89410584";"52.5";1
"2.333630137";"48.89505085";"52.5";1
"2.333630137";"48.89599586";"52.5";1
"2.333630137";"48.89694087";"52.5";1
"2.333630137";"48.89788588";"52.5";1
"2.333630137";"48.89883089";"52.5";1
"2.333630137";"48.8997759";"52.5";1
"2.333630137";"48.90072091";"52.5";1
"2.334349315";"48.87189812";"52.5";1
"2.334349315";"48.87284313";"52.5";1
"2.334349315";"48.87378814";"52.5";1
"2.334349315";"48.87473315";"52.5";1
"2.334349315";"48.87567816";"52.5";1
"2.334349315";"48.87662317";"52.5";1
"2.334349315";"48.87756818";"52.5";1
"2.334349315";"48.87851319";"52.5";1
"2.334349315";"48.87945819";"52.5";1
"2.334349315";"48.8804032";"52.5";1
"2.334349315";"48.88134821";"52.5";1
"2.334349315";"48.88229322";"52.5";1
"2.334349315";"48.88323823";"52.5";1
"2.334349315";"48.88418324";"52.5";1
"2.334349315";"48.88512825";"52.5";1
"2.334349315";"48.88607326";"52.5";1
"2.334349315";"48.88701827";"52.5";1
"2.334349315";"48.88796328";"52.5";1
"2.334349315";"48.88890829";"52.5";1
"2.334349315";"48.8898533";"52.5";1
"2.334349315";"48.89079831";"52.5";1
"2.334349315";"48.89174332";"52.5";1
"2.334349315";"48.89268833";"52.5";1
"2.334349315";"48.89363334";"52.5";1
"2.334349315";"48.89457835";"52.5";1
"2.334349315";"48.89552336";"52.5";1
"2.334349315";"48.89646836";"52.5";1
"2.334349315";"48.89741337";"52.5";1
"2.334349315";"48.89835838";"52.5";1
"2.334349315";"48.89930339";"52.5";1
"2.334349315";"48.9002484";"52.5";1
"2.335068493";"48.87142561";"52.5";1
"2.335068493";"48.87331563";"52.5";1
"2.335068493";"48.87520565";"52.5";1
"2.335068493";"48.87615066";"52.5";1
"2.335068493";"48.87898569";"52.5";1
"2.335068493";"48.88276573";"52.5";1
"2.335068493";"48.88371074";"52.5";1
"2.335068493";"48.88465575";"52.5";1
"2.335068493";"48.88560076";"52.5";1
"2.335068493";"48.8903258";"52.5";1
"2.335068493";"48.89410584";"52.5";1
"2.335068493";"48.89883089";"52.5";1
"2.335068493";"48.8997759";"52.5";1
"2.335068493";"48.87237062";"52.5";1
"2.335068493";"48.87426064";"52.5";1
"2.335068493";"48.87709567";"52.5";1
"2.335068493";"48.87804068";"52.5";1
"2.335068493";"48.8799307";"52.5";1
"2.335068493";"48.88087571";"52.5";1
"2.335068493";"48.88182072";"52.5";1
"2.335068493";"48.88654577";"52.5";1
"2.335068493";"48.88749077";"52.5";1
"2.335068493";"48.88843578";"52.5";1
"2.335068493";"48.88938079";"52.5";1
"2.335068493";"48.89127081";"52.5";1
"2.335068493";"48.89221582";"52.5";1
"2.335068493";"48.89316083";"52.5";1
"2.335068493";"48.89505085";"52.5";1
"2.335068493";"48.89599586";"52.5";1
"2.335068493";"48.89694087";"52.5";1
"2.335068493";"48.89788588";"52.5";1
"2.335068493";"48.90072091";"52.5";1
"2.335787671";"48.87189812";"52.5";1
"2.335787671";"48.87284313";"52.5";1
"2.335787671";"48.87378814";"52.5";1
"2.335787671";"48.87473315";"52.5";1
"2.335787671";"48.87567816";"52.5";1
"2.335787671";"48.87662317";"52.5";1
"2.335787671";"48.87756818";"52.5";1
"2.335787671";"48.87851319";"52.5";1
"2.335787671";"48.87945819";"52.5";1
"2.335787671";"48.8804032";"52.5";1
"2.335787671";"48.88134821";"52.5";1
"2.335787671";"48.88229322";"52.5";1
"2.335787671";"48.88323823";"52.5";1
"2.335787671";"48.88418324";"52.5";1
"2.335787671";"48.88512825";"52.5";1
"2.335787671";"48.88607326";"52.5";1
"2.335787671";"48.88701827";"52.5";1
"2.335787671";"48.88796328";"52.5";1
"2.335787671";"48.88890829";"52.5";1
"2.335787671";"48.8898533";"52.5";1
"2.335787671";"48.89079831";"52.5";1
"2.335787671";"48.89174332";"52.5";1
"2.335787671";"48.89268833";"52.5";1
"2.335787671";"48.89363334";"52.5";1
"2.335787671";"48.89457835";"52.5";1
"2.335787671";"48.89552336";"52.5";1
"2.335787671";"48.89646836";"52.5";1
"2.335787671";"48.89741337";"52.5";1
"2.335787671";"48.89835838";"52.5";1
"2.335787671";"48.89930339";"52.5";1
"2.335787671";"48.9002484";"52.5";1
"2.336506849";"48.87142561";"52.5";1
"2.336506849";"48.87237062";"52.5";1
"2.336506849";"48.87331563";"52.5";1
"2.336506849";"48.87426064";"52.5";1
"2.336506849";"48.87520565";"52.5";1
"2.336506849";"48.87615066";"52.5";1
"2.336506849";"48.87709567";"52.5";1
"2.336506849";"48.87804068";"52.5";1
"2.336506849";"48.87898569";"52.5";1
"2.336506849";"48.8799307";"52.5";1
"2.336506849";"48.88087571";"52.5";1
"2.336506849";"48.88182072";"52.5";1
"2.336506849";"48.88276573";"52.5";1
"2.336506849";"48.88371074";"52.5";1
"2.336506849";"48.88465575";"52.5";1
"2.336506849";"48.88560076";"52.5";1
"2.336506849";"48.88654577";"52.5";1
"2.336506849";"48.88749077";"52.5";1
"2.336506849";"48.88843578";"52.5";1
"2.336506849";"48.88938079";"52.5";1
"2.336506849";"48.8903258";"52.5";1
"2.336506849";"48.89127081";"52.5";1
"2.336506849";"48.89221582";"52.5";1
"2.336506849";"48.89316083";"52.5";1
"2.336506849";"48.89410584";"52.5";1
"2.336506849";"48.89505085";"52.5";1
"2.336506849";"48.89599586";"52.5";1
"2.336506849";"48.89694087";"52.5";1
"2.336506849";"48.89788588";"52.5";1
"2.336506849";"48.89883089";"52.5";1
"2.336506849";"48.8997759";"52.5";1
"2.336506849";"48.90072091";"52.5";1
"2.337226027";"48.87189812";"52.5";1
"2.337226027";"48.87284313";"52.5";1
"2.337226027";"48.87378814";"52.5";1
"2.337226027";"48.87473315";"52.5";1
"2.337226027";"48.87567816";"52.5";1
"2.337226027";"48.87662317";"52.5";1
"2.337226027";"48.87756818";"52.5";1
"2.337226027";"48.87851319";"52.5";1
"2.337226027";"48.87945819";"52.5";1
"2.337226027";"48.8804032";"52.5";1
"2.337226027";"48.88134821";"52.5";1
"2.337226027";"48.88229322";"52.5";1
"2.337226027";"48.88323823";"52.5";1
"2.337226027";"48.88418324";"52.5";1
"2.337226027";"48.88512825";"52.5";1
"2.337226027";"48.88607326";"52.5";1
"2.337226027";"48.88701827";"52.5";1
"2.337226027";"48.88796328";"52.5";1
"2.337226027";"48.88890829";"52.5";1
"2.337226027";"48.8898533";"52.5";1
"2.337226027";"48.89079831";"52.5";1
"2.337226027";"48.89174332";"52.5";1
"2.337226027";"48.89268833";"52.5";1
"2.337226027";"48.89363334";"52.5";1
"2.337226027";"48.89457835";"52.5";1
"2.337226027";"48.89552336";"52.5";1
"2.337226027";"48.89646836";"52.5";1
"2.337226027";"48.89741337";"52.5";1
"2.337226027";"48.89835838";"52.5";1
"2.337226027";"48.89930339";"52.5";1
"2.337226027";"48.9002484";"52.5";1
"2.337226027";"48.90119341";"52.5";1
"2.337945205";"48.87237062";"52.5";1
"2.337945205";"48.87331563";"52.5";1
"2.337945205";"48.87426064";"52.5";1
"2.337945205";"48.87520565";"52.5";1
"2.337945205";"48.87615066";"52.5";1
"2.337945205";"48.87709567";"52.5";1
"2.337945205";"48.87804068";"52.5";1
"2.337945205";"48.87898569";"52.5";1
"2.337945205";"48.8799307";"52.5";1
"2.337945205";"48.88087571";"52.5";1
"2.337945205";"48.88182072";"52.5";1
"2.337945205";"48.88276573";"52.5";1
"2.337945205";"48.88371074";"52.5";1
"2.337945205";"48.88465575";"52.5";1
"2.337945205";"48.88560076";"52.5";1
"2.337945205";"48.88654577";"52.5";1
"2.337945205";"48.88749077";"52.5";1
"2.337945205";"48.88843578";"52.5";1
"2.337945205";"48.88938079";"52.5";1
"2.337945205";"48.8903258";"52.5";1
"2.337945205";"48.89127081";"52.5";1
"2.337945205";"48.89221582";"52.5";1
"2.337945205";"48.89316083";"52.5";1
"2.337945205";"48.89410584";"52.5";1
"2.337945205";"48.89505085";"52.5";1
"2.337945205";"48.89599586";"52.5";1
"2.337945205";"48.89694087";"52.5";1
"2.337945205";"48.89788588";"52.5";1
"2.337945205";"48.89883089";"52.5";1
"2.337945205";"48.8997759";"52.5";1
"2.337945205";"48.90072091";"52.5";1
"2.338664384";"48.87189812";"52.5";1
"2.338664384";"48.87284313";"52.5";1
"2.338664384";"48.87378814";"52.5";1
"2.338664384";"48.87473315";"52.5";1
"2.338664384";"48.87567816";"52.5";1
"2.338664384";"48.87662317";"52.5";1
"2.338664384";"48.87756818";"52.5";1
"2.338664384";"48.87851319";"52.5";1
"2.338664384";"48.87945819";"52.5";1
"2.338664384";"48.8804032";"52.5";1
"2.338664384";"48.88134821";"52.5";1
"2.338664384";"48.88229322";"52.5";1
"2.338664384";"48.88323823";"52.5";1
"2.338664384";"48.88418324";"52.5";1
"2.338664384";"48.88512825";"52.5";1
"2.338664384";"48.88607326";"52.5";1
"2.338664384";"48.88701827";"52.5";1
"2.338664384";"48.88796328";"52.5";1
"2.338664384";"48.8898533";"52.5";1
"2.338664384";"48.89079831";"52.5";1
"2.338664384";"48.89174332";"52.5";1
"2.338664384";"48.89268833";"52.5";1
"2.338664384";"48.89363334";"52.5";1
"2.338664384";"48.89457835";"52.5";1
"2.338664384";"48.89552336";"52.5";1
"2.338664384";"48.89646836";"52.5";1
"2.338664384";"48.89741337";"52.5";1
"2.338664384";"48.89835838";"52.5";1
"2.338664384";"48.89930339";"52.5";1
"2.338664384";"48.9002484";"52.5";1
"2.338664384";"48.90119341";"52.5";1
"2.338664384";"48.88890829";"52.5";1
"2.339383562";"48.87237062";"52.5";1
"2.339383562";"48.87331563";"52.5";1
"2.339383562";"48.87426064";"52.5";1
"2.339383562";"48.87520565";"52.5";1
"2.339383562";"48.87615066";"52.5";1
"2.339383562";"48.87709567";"52.5";1
"2.339383562";"48.87804068";"52.5";1
"2.339383562";"48.87898569";"52.5";1
"2.339383562";"48.8799307";"52.5";1
"2.339383562";"48.88087571";"52.5";1
"2.339383562";"48.88182072";"52.5";1
"2.339383562";"48.88276573";"52.5";1
"2.339383562";"48.88371074";"52.5";1
"2.339383562";"48.88465575";"52.5";1
"2.339383562";"48.88560076";"52.5";1
"2.339383562";"48.88654577";"52.5";1
"2.339383562";"48.88749077";"52.5";1
"2.339383562";"48.88843578";"52.5";1
"2.339383562";"48.88938079";"52.5";1
"2.339383562";"48.8903258";"52.5";1
"2.339383562";"48.89127081";"52.5";1
"2.339383562";"48.89221582";"52.5";1
"2.339383562";"48.89316083";"52.5";1
"2.339383562";"48.89410584";"52.5";1
"2.339383562";"48.89505085";"52.5";1
"2.339383562";"48.89599586";"52.5";1
"2.339383562";"48.89694087";"52.5";1
"2.339383562";"48.89788588";"52.5";1
"2.339383562";"48.89883089";"52.5";1
"2.339383562";"48.8997759";"52.5";1
"2.339383562";"48.90072091";"52.5";1
"2.34010274";"48.87284313";"52.5";1
"2.34010274";"48.87378814";"52.5";1
"2.34010274";"48.87473315";"52.5";1
"2.34010274";"48.87567816";"52.5";1
"2.34010274";"48.87662317";"52.5";1
"2.34010274";"48.87756818";"52.5";1
"2.34010274";"48.87851319";"52.5";1
"2.34010274";"48.87945819";"52.5";1
"2.34010274";"48.8804032";"52.5";1
"2.34010274";"48.88134821";"52.5";1
"2.34010274";"48.88229322";"52.5";1
"2.34010274";"48.88323823";"52.5";1
"2.34010274";"48.88418324";"52.5";1
"2.34010274";"48.88512825";"52.5";1
"2.34010274";"48.88607326";"52.5";1
"2.34010274";"48.88701827";"52.5";1
"2.34010274";"48.88796328";"52.5";1
"2.34010274";"48.88890829";"52.5";1
"2.34010274";"48.8898533";"52.5";1
"2.34010274";"48.89079831";"52.5";1
"2.34010274";"48.89174332";"52.5";1
"2.34010274";"48.89268833";"52.5";1
"2.34010274";"48.89363334";"52.5";1
"2.34010274";"48.89457835";"52.5";1
"2.34010274";"48.89552336";"52.5";1
"2.34010274";"48.89646836";"52.5";1
"2.34010274";"48.89741337";"52.5";1
"2.34010274";"48.89835838";"52.5";1
"2.34010274";"48.89930339";"52.5";1
"2.34010274";"48.9002484";"52.5";1
"2.34010274";"48.90119341";"52.5";1
"2.340821918";"48.87237062";"52.5";1
"2.340821918";"48.87331563";"52.5";1
"2.340821918";"48.87426064";"52.5";1
"2.340821918";"48.87520565";"52.5";1
"2.340821918";"48.87615066";"52.5";1
"2.340821918";"48.87709567";"52.5";1
"2.340821918";"48.87804068";"52.5";1
"2.340821918";"48.87898569";"52.5";1
"2.340821918";"48.8799307";"52.5";1
"2.340821918";"48.88087571";"52.5";1
"2.340821918";"48.88182072";"52.5";1
"2.340821918";"48.88276573";"52.5";1
"2.340821918";"48.88371074";"52.5";1
"2.340821918";"48.88465575";"52.5";1
"2.340821918";"48.88560076";"52.5";1
"2.340821918";"48.88654577";"52.5";1
"2.340821918";"48.88749077";"52.5";1
"2.340821918";"48.88843578";"52.5";1
"2.340821918";"48.88938079";"52.5";1
"2.340821918";"48.8903258";"52.5";1
"2.340821918";"48.89127081";"52.5";1
"2.340821918";"48.89221582";"52.5";1
"2.340821918";"48.89316083";"52.5";1
"2.340821918";"48.89410584";"52.5";1
"2.340821918";"48.89505085";"52.5";1
"2.340821918";"48.89599586";"52.5";1
"2.340821918";"48.89694087";"52.5";1
"2.340821918";"48.89788588";"52.5";1
"2.340821918";"48.89883089";"52.5";1
"2.340821918";"48.8997759";"52.5";1
"2.340821918";"48.90072091";"52.5";1
"2.341541096";"48.87189812";"52.5";1
"2.341541096";"48.87284313";"52.5";1
"2.341541096";"48.87378814";"52.5";1
"2.341541096";"48.87473315";"52.5";1
"2.341541096";"48.87567816";"52.5";1
"2.341541096";"48.87662317";"52.5";1
"2.341541096";"48.87756818";"52.5";1
"2.341541096";"48.87851319";"52.5";1
"2.341541096";"48.87945819";"52.5";1
"2.341541096";"48.8804032";"52.5";1
"2.341541096";"48.88134821";"52.5";1
"2.341541096";"48.88229322";"52.5";1
"2.341541096";"48.88323823";"52.5";1
"2.341541096";"48.88418324";"52.5";1
"2.341541096";"48.88512825";"52.5";1
"2.341541096";"48.88607326";"52.5";1
"2.341541096";"48.88701827";"52.5";1
"2.341541096";"48.88796328";"52.5";1
"2.341541096";"48.88890829";"52.5";1
"2.341541096";"48.8898533";"52.5";1
"2.341541096";"48.89079831";"52.5";1
"2.341541096";"48.89174332";"52.5";1
"2.341541096";"48.89268833";"52.5";1
"2.341541096";"48.89363334";"52.5";1
"2.341541096";"48.89457835";"52.5";1
"2.341541096";"48.89552336";"52.5";1
"2.341541096";"48.89646836";"52.5";1
"2.341541096";"48.89741337";"52.5";1
"2.341541096";"48.89835838";"52.5";1
"2.341541096";"48.89930339";"52.5";1
"2.341541096";"48.9002484";"52.5";1
"2.341541096";"48.90119341";"52.5";1
"2.342260274";"48.87237062";"52.5";1
"2.342260274";"48.87331563";"52.5";1
"2.342260274";"48.87426064";"52.5";1
"2.342260274";"48.87520565";"52.5";1
"2.342260274";"48.87615066";"52.5";1
"2.342260274";"48.87709567";"52.5";1
"2.342260274";"48.87804068";"52.5";1
"2.342260274";"48.87898569";"52.5";1
"2.342260274";"48.8799307";"52.5";1
"2.342260274";"48.88087571";"52.5";1
"2.342260274";"48.88182072";"52.5";1
"2.342260274";"48.88276573";"52.5";1
